fraction	treatment1	time	fraction_bis	treatment2	time_bis
Cyto	IGF1	2h	Cyto	Linsi	2h
Ribo	IGF1	2h	Ribo	Linsi	2h
Cyto	IGF1	6h	Cyto	Linsi	6h
Ribo	IGF1	6h	Ribo	Linsi	6h
Cyto	IGF1	12h	Cyto	Linsi	12h
Ribo	IGF1	12h	Ribo	Linsi	12h
Cyto	IGF1	2h	Cyto	NT	0h
Ribo	IGF1	2h	Ribo	NT	0h
Cyto	IGF1	6h	Cyto	NT	0h
Ribo	IGF1	6h	Ribo	NT	0h
Cyto	IGF1	12h	Cyto	NT	0h
Ribo	IGF1	12h	Ribo	NT	0h
Cyto	Linsi	2h	Cyto	NT	0h
Ribo	Linsi	2h	Ribo	NT	0h
Cyto	Linsi	6h	Cyto	NT	0h
Ribo	Linsi	6h	Ribo	NT	0h
Cyto	Linsi	12h	Cyto	NT	0h
Ribo	Linsi	12h	Ribo	NT	0h
